name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Haveli,Yes,No,-,529,Banashankari,Desserts,"Bakery, Cafe",800,Dine-out,BTM Layout
Cafe Donne Biryani,No,No,4.3/5,7360,RT Nagar  ,Cafe,"South Indian, Chinese",200,Dine-out,Whitefield
Haveli,Yes,No,4.5/5,3188,Hebbal,Beverage Shop,"Mughlai, North Indian",1500,Buffet,Whitefield
Brahmin Coffee Bar,Yes,,3.4/5,4644,Vijayanagar,Beverage Shop,"Italian, Pizza",700,Dine-out,Koramangala
Cafe Box8,No,Yes,2.9/5,5752,Marathahalli,,"Italian, Pizza",350,Drinks & nightlife,Banashankari
Dhaba KFC,Yes,No,2.7/5,5592,Bellandur,"Pub, Bar",Biryani,400,Dine-out,Whitefield
The The Burger Lab,No,Yes,3.8/5,1285,Hebbal,Beverage Shop,Biryani,400,Cafes,JP Nagar
Pizza Hut,Yes,No,4.6/5,6812,Bellandur,Sweet Shop,"Italian, Pizza",250,Dine-out,Indiranagar
Vasudev Adiga,Yes,Yes,3.1/5,3224,Church Street,Fine Dining,Chinese,"2,500",Lunch,Indiranagar
Udupi Palace,Yes,Yes,3.3/5,1394,Whitefield,,"Mughlai, North Indian",800,Lunch,Indiranagar
Vasudev Adiga,No,No,4.1/5,3374,Domlur,Casual Dining,"South Indian, North Indian",400,Buffet,BTM Layout
McDonald's,Yes,Yes,4.0/5,6183,Richmond Town,Cafe,Street Food,2000,Drinks & nightlife,Koramangala
Kamat Upachar,No,Yes,4.7/5,3526,Hebbal,Beverage Shop,Biryani,800,Cafes,Jayanagar
KFC,Yes,Yes,-,2353,Sarjapur Road,Cafe,North Indian,2500,Desserts,JP Nagar
Kanti Sweets,Yes,Yes,3.4/5,7206,Koramangala,Beverage Shop,Chinese,,Lunch,Jayanagar
Kitchen Chinese Hut,Yes,Yes,3.2/5,3201,Majestic,Fine Dining,Biryani,2500,Drinks & nightlife,Whitefield
KFC,Yes,No,3.7/5,6276,Domlur,Cafe,"Continental, North Indian",900,Drinks & nightlife,Jayanagar
House Amul,No,Yes,3.7/5,7408,RT Nagar,Cafe,"Mughlai, North Indian",2500,Dine-out,JP Nagar
Brahmin Coffee Bar,No,No,3.5/5,4599,Koramangala,"Casual Dining, Cafe","Italian, Pizza",700,Drinks & nightlife,Whitefield
Vidyarthi Bhavan,Yes,No,4.1/5,6652,Indiranagar,"Pub, Bar",,900,Lunch,HSR Layout
House Vidyarthi Bhavan,Yes,No,3.8/5,4549,Rajajinagar  ,Bakery,"Pizza, Fast Food",1000,Drinks & nightlife,Electronic City
Corner House,No,Yes,4.3/5,3928,Majestic,Casual Dining,North Indian,250,Dine-out,HSR Layout
Palace Udupi Palace,No,Yes,4.8/5,3267,RT Nagar,Bakery,Street Food,900,Lunch,Electronic City
Biryani Zone,No,Yes,4.9/5,850,Electronic City,"Pub, Bar","South Indian, Chinese",,Delivery,Electronic City
Chai Point,No,Yes,3.7/5,1518,Bellandur,Fine Dining,"South Indian, Chinese",200,Cafes,Whitefield
Eat Street,Yes,No,-,6434,Yelahanka,Beverage Shop,"Ice Cream, Desserts",700,Desserts,HSR Layout
Cafe Pizza Hut,Yes,Yes,3.9/5,4589,Electronic City,"Pub, Bar",South Indian,800,Desserts,Whitefield
Chinese Hut,No,No,4.4/5,2637,Basavanagudi,Sweet Shop,Chinese,900,Cafes,JP Nagar
McDonald's,Yes,Yes,3.1/5,2411,Majestic,Bar,"South Indian, Chinese",900,Desserts,Banashankari
New Taj Mahal Cafe,No,Yes,NEW,6787,HSR Layout,Casual Dining,"Cafe, Beverages",900,Buffet,Whitefield
Vasudev Adiga,Yes,No,4.1/5,7437,Electronic City,Quick Bites,South Indian,2500,Lunch,Whitefield
Corner Amul,Yes,No,3.1/5,5789,Koramangala  ,Mess,"Sandwich, Fast Food",900,Buffet,Indiranagar
House Chai Point,Yes,Yes,3.7/5,1855,HSR Layout,Quick Bites,North Indian,1200,Buffet,Whitefield
Hotel Hotel Pai Vista,Yes,No,4.6/5,406,Domlur,Quick Bites,"Continental, North Indian",350,Desserts,JP Nagar
McDonald's,Yes,No,3.8/5,3778,Rajajinagar,Casual Dining,"Cafe, Beverages",900,Buffet,Electronic City
Restaurant Vidyarthi Bhavan,Yes,Yes,4.4/5,1996,Basavanagudi,"Pub, Bar","Mughlai, North Indian",450,Buffet,Indiranagar
Brahmin Coffee Bar,No,Yes,3.0/5,2848,HSR Layout  ,Bakery,"Ice Cream, Desserts",300,Delivery,HSR Layout
Beijing Bites,No,No,3.2/5,3173,Indiranagar,Mess,"North Indian, Chinese",250,Desserts,Jayanagar
Cafe KFC,No,Yes,3.4/5,2989,JP Nagar  ,Desserts,"South Indian, North Indian",450,Dine-out,Whitefield
MTR,Yes,Yes,3.3/5,1364,Banashankari,Sweet Shop,"Cafe, Beverages",150,Delivery,Indiranagar
Satkar,Yes,Yes,3.9/5,6924,Whitefield  ,Mess,"Cafe, Beverages",900,Drinks & nightlife,BTM Layout
Natural Ice Cream,Yes,Yes,2.6/5,125,Frazer Town,Casual Dining,Street Food,300,Desserts,Electronic City
Dragon Palace,Yes,Yes,4.9/5,5773,Bellandur,"Pub, Bar","Continental, North Indian",800,Buffet,JP Nagar
Vasudev Adiga,Yes,Yes,2.6/5,3138,Richmond Town  ,Delivery,"Seafood, Continental",150,Lunch,Jayanagar
The The Burger Lab,No,Yes,4.8/5,6007,HSR Layout,Quick Bites,"Continental, North Indian",800,Lunch,Indiranagar
Satkar,Yes,Yes,3.7/5,1704,Bellandur  ,Quick Bites,North Indian,1000,Delivery,Jayanagar
McDonald's,No,,4.1/5,792,Church Street,Food Court,,500,Buffet,Jayanagar
Koshy's,Yes,No,4.5/5,1823,Hebbal,Desserts,"Mughlai, North Indian",350,Desserts,HSR Layout
Restaurant Pizza Hut,Yes,No,3.8/5,4760,Marathahalli,Desserts,"Bakery, Cafe",350,Desserts,HSR Layout
Kanti Sweets,Yes,No,NEW,7784,Vijayanagar,Sweet Shop,"Mughlai, North Indian",300,Desserts,JP Nagar
Donne Biryani,Yes,Yes,-,4390,Richmond Town,Cafe,South Indian,700,Lunch,Whitefield
Brahmin Coffee Bar,No,Yes,-,1265,RT Nagar,Casual Dining,,200,Buffet,BTM Layout
Chinese Hut,Yes,Yes,3.9/5,3416,Indiranagar,Sweet Shop,"North Indian, Chinese",,Buffet,Koramangala
Satkar,Yes,Yes,3.7/5,7121,JP Nagar,Cafe,,350,Desserts,Indiranagar
Shivaji Military Hotel,Yes,No,4.1/5,1247,Indiranagar,Quick Bites,Biryani,1000,Desserts,HSR Layout
House Faasos,Yes,,4.3/5,3619,Bellandur,"Pub, Bar","Continental, North Indian",800,Lunch,BTM Layout
Restaurant Kamat Upachar,No,Yes,4.0/5,4419,Frazer Town  ,Delivery,"Seafood, Continental",2500,Lunch,Whitefield
Punjabi Tadka,Yes,Yes,3.0/5,1008,Banashankari,Cafe,"South Indian, North Indian",900,Buffet,BTM Layout
Udupi Palace,No,Yes,3.3/5,3957,BTM Layout,,Biryani,500,Drinks & nightlife,BTM Layout
Cafe New Taj Mahal Cafe,No,No,3.8/5,955,Koramangala,Beverage Shop,,900,Desserts,HSR Layout
Corner Punjabi Tadka,No,Yes,4.2/5,1035,Hebbal,Bar,"Bakery, Cafe",500,Cafes,Jayanagar
Brahmin Coffee Bar,Yes,Yes,2.8/5,6770,Marathahalli  ,Delivery,"South Indian, North Indian",900,Lunch,Marathahalli
Toit Brewpub,Yes,No,-,3338,HSR Layout,Sweet Shop,"South Indian, North Indian",,Delivery,BTM Layout
Truffles,No,Yes,3.1/5,3104,Hebbal,Bar,"Bakery, Cafe",500,Dine-out,Jayanagar
The Punjab Grill,Yes,No,4.5/5,3965,Rajajinagar  ,Cafe,Fast Food,500,Delivery,Banashankari
Belgian Waffle,Yes,No,3.9/5,4281,MG Road,Fine Dining,"Cafe, Beverages",150,Dine-out,Jayanagar
Punjabi Tadka,No,No,4.1/5,2448,Frazer Town,Delivery,"Cafe, Beverages",400,Delivery,Koramangala
Vidyarthi Bhavan,Yes,No,3.3/5,1442,Hebbal,Mess,"North Indian, Chinese","2,500",Lunch,HSR Layout
Udupi Palace,No,Yes,2.9/5,1584,BTM Layout,"Casual Dining, Cafe","South Indian, Chinese",2500,Dine-out,Indiranagar
Dragon Palace,Yes,Yes,4.0/5,5084,Majestic,Bakery,"South Indian, Chinese",200,Dine-out,Koramangala
Hotel Pai Vista,Yes,No,,3963,Malleshwaram  ,"Casual Dining, Cafe","South Indian, North Indian",700,Delivery,Koramangala
Corner Cafe Coffee Day,No,,-,918,Bellandur,"Pub, Bar","Italian, Pizza",1000,Lunch,Electronic City
Biryani KFC,No,Yes,4.1/5,632,BTM Layout,"Casual Dining, Cafe",Fast Food,2500,Delivery,BTM Layout
Kanti Sweets,No,Yes,,1640,Malleshwaram,Desserts,"Seafood, Continental",600,Lunch,Whitefield
Punjab Grill,Yes,Yes,4.0/5,7843,HSR Layout,"Casual Dining, Cafe",,300,Cafes,Koramangala
Corner Chinese Hut,Yes,Yes,4.4/5,36,Jayanagar  ,Cafe,"Ice Cream, Desserts",,Dine-out,Jayanagar
House Natural Ice Cream,No,No,4.9/5,5943,JP Nagar,Fine Dining,Fast Food,900,Cafes,Koramangala
Vasudev Adiga,Yes,No,3.8/5,1585,JP Nagar,"Casual Dining, Cafe",,700,Lunch,Electronic City
Kitchen Koshy's,Yes,No,4.8/5,3364,Jayanagar,Cafe,Fast Food,800,Buffet,HSR Layout
Udupi Palace,No,Yes,2.9/5,6707,Malleshwaram,Bakery,"Biryani, North Indian",1500,Delivery,HSR Layout
Kamat Upachar,No,,3.5/5,7537,Electronic City,Bakery,South Indian,600,Drinks & nightlife,JP Nagar
Belgian Waffle,No,No,3.3/5,954,Hebbal,"Casual Dining, Cafe",,"2,000",Desserts,Koramangala
McDonald's,Yes,No,2.8/5,1560,Jayanagar  ,"Pub, Bar","Italian, Pizza",300,Delivery,BTM Layout
Subway,No,,3.6/5,6813,Koramangala,Mess,Chinese,400,Drinks & nightlife,Koramangala
Box8,No,Yes,4.6/5,2359,Malleshwaram,Cafe,"Sandwich, Fast Food",500,Delivery,BTM Layout
Cafe Freshmenu,No,Yes,3.4/5,2430,Indiranagar,Sweet Shop,"Biryani, North Indian",250,Lunch,HSR Layout
Corner House,No,No,4.1/5,5477,MG Road,Sweet Shop,Biryani,"2,000",Delivery,Jayanagar
Spice Garden,No,,4.3/5,913,Koramangala,Delivery,"Continental, North Indian",600,Cafes,BTM Layout
Punjabi Tadka,Yes,No,,5126,Marathahalli,Casual Dining,"Bakery, Cafe",2000,Cafes,Whitefield
The Burger Lab,No,Yes,3.4/5,4675,Church Street,Desserts,"Biryani, North Indian",700,Drinks & nightlife,Jayanagar
New Taj Mahal Cafe,No,No,3.5/5,2631,BTM Layout,Bar,Street Food,300,Cafes,Koramangala
KFC,No,Yes,4.1/5,2425,BTM Layout,Sweet Shop,"Sandwich, Fast Food",800,Dine-out,Indiranagar
Brahmin Coffee Bar,Yes,,2.9/5,806,Hebbal,Casual Dining,"Continental, North Indian",400,Buffet,Banashankari
Wrap It Up,No,Yes,4.2/5,2785,Frazer Town,Sweet Shop,"Italian, Pizza",300,Cafes,JP Nagar
Barbeque Nation,Yes,No,2.9/5,6830,Vijayanagar,Mess,North Indian,300,Lunch,Electronic City
Chai Point,Yes,Yes,3.2/5,5690,Bellandur,"Pub, Bar",,800,Lunch,Jayanagar
Vidyarthi Bhavan,Yes,Yes,2.9/5,1591,Vijayanagar,,"Italian, Pizza",200,Delivery,BTM Layout
Freshmenu,No,No,3.6/5,281,Vijayanagar,Casual Dining,"Pizza, Fast Food","2,500",Buffet,JP Nagar
Cafe Truffles,Yes,No,2.5/5,4255,Marathahalli,Delivery,"South Indian, North Indian",600,Cafes,Marathahalli
Chinese Hut,No,Yes,2.9/5,5658,Church Street,Casual Dining,"Pizza, Fast Food",600,Buffet,BTM Layout
Beijing Bites,Yes,Yes,3.5/5,6917,Banashankari,"Casual Dining, Cafe",Street Food,,Delivery,BTM Layout
Haveli,Yes,No,3.0/5,6059,Bellandur,Quick Bites,,600,Dine-out,HSR Layout
Dhaba Faasos,No,No,4.6/5,3287,Rajajinagar  ,"Casual Dining, Cafe","Cafe, Beverages",1000,Delivery,Jayanagar
Cafe Corner House,Yes,No,4.6/5,3919,Jayanagar,Fine Dining,"South Indian, North Indian",150,Dine-out,Banashankari
The Koshy's,No,,NEW,5352,Bellandur,Food Court,"South Indian, Chinese",2500,Buffet,Electronic City
The Dragon Palace,Yes,No,,7390,BTM Layout,Mess,"Seafood, Continental",300,Dine-out,Koramangala
Empire Restaurant,No,No,2.7/5,5864,Vijayanagar  ,Mess,"South Indian, North Indian","1,000",Lunch,Whitefield
Dhaba Truffles,Yes,No,4.2/5,4146,Marathahalli,Fine Dining,"Mughlai, North Indian",600,Delivery,Marathahalli
Beijing Bites,Yes,Yes,4.8/5,403,Indiranagar  ,,"Desserts, Bakery",150,Buffet,Jayanagar
Chai Point,No,Yes,3.9/5,6602,JP Nagar  ,Delivery,,800,Delivery,Koramangala
Chinese Hut,Yes,,4.0/5,5511,Koramangala,Bakery,"Sandwich, Fast Food","1,000",Lunch,Indiranagar
Brahmin Coffee Bar,No,,NEW,6090,BTM Layout,Bakery,South Indian,900,Buffet,Marathahalli
Biryani Vasudev Adiga,No,No,4.4/5,7708,Whitefield,Desserts,,2500,Buffet,HSR Layout
Biryani Vasudev Adiga,No,Yes,3.1/5,5699,Whitefield,Cafe,"South Indian, North Indian",400,Cafes,Indiranagar
Barbeque Nation,No,,4.4/5,1809,Sarjapur Road,Delivery,"North Indian, Chinese",350,Cafes,Koramangala
Srinidhi,Yes,Yes,2.8/5,7062,MG Road,Bar,"Continental, North Indian",1200,Desserts,Jayanagar
Hotel Beijing Bites,Yes,,3.3/5,7725,Whitefield,Mess,Chinese,2000,Cafes,Indiranagar
New Taj Mahal Cafe,No,No,4.8/5,6257,Sarjapur Road,Beverage Shop,,150,Dine-out,HSR Layout
Biryani Faasos,Yes,Yes,2.6/5,5519,Whitefield  ,Beverage Shop,Street Food,450,Desserts,Electronic City
Eat Street,Yes,No,4.4/5,145,Bellandur,Bar,Chinese,1000,Delivery,BTM Layout
Starbucks,Yes,No,4.1/5,7904,Hebbal  ,Quick Bites,"North Indian, Chinese",150,Lunch,Whitefield
Hotel McDonald's,Yes,No,4.4/5,5445,Electronic City,Fine Dining,"Desserts, Bakery",700,Drinks & nightlife,JP Nagar
Restaurant Beijing Bites,Yes,Yes,3.7/5,5342,Church Street,Food Court,"Sandwich, Fast Food","2,500",Drinks & nightlife,BTM Layout
Natural Ice Cream,Yes,Yes,2.6/5,125,Frazer Town,Casual Dining,Street Food,300,Desserts,Electronic City
Cafe Coffee Day,Yes,Yes,4.2/5,4107,Whitefield,,"South Indian, Chinese","2,500",Lunch,BTM Layout
Meghana Foods,No,No,3.3/5,2270,HSR Layout  ,Bar,"Italian, Pizza",700,Dine-out,Whitefield
Koshy's,Yes,No,3.4/5,7979,Basavanagudi,"Pub, Bar","South Indian, North Indian",2500,Delivery,Electronic City
Chinese Hut,No,No,4.4/5,2637,Basavanagudi,Sweet Shop,Chinese,900,Cafes,JP Nagar
Srinidhi,No,,4.7/5,2496,Hebbal  ,Quick Bites,"Desserts, Bakery",1000,Dine-out,Marathahalli
Dominos,Yes,,3.2/5,1933,Majestic,Bar,"Biryani, North Indian",250,Buffet,Marathahalli
Cafe Eat Street,Yes,No,4.5/5,735,Koramangala,Casual Dining,"Cafe, Beverages",900,Dine-out,Whitefield
Toit Brewpub,No,No,2.5/5,5181,Domlur  ,Casual Dining,North Indian,2000,Delivery,HSR Layout
Faasos,Yes,No,4.8/5,1716,Domlur,Delivery,Street Food,250,Buffet,JP Nagar
Hotel Wrap It Up,No,,4.4/5,1798,Koramangala,Cafe,Chinese,500,Buffet,Koramangala
Empire Restaurant,No,No,NEW,7371,Indiranagar,Sweet Shop,"Ice Cream, Desserts",1500,Dine-out,Whitefield
Corner House,Yes,,4.5/5,5343,Whitefield,"Casual Dining, Cafe","Cafe, Beverages",400,Delivery,Electronic City
Dhaba Wrap It Up,No,Yes,4.1/5,7764,Bellandur,Delivery,"South Indian, Chinese",1000,Drinks & nightlife,Koramangala
Dhaba Truffles,No,,4.3/5,715,Jayanagar,Sweet Shop,"Mughlai, North Indian",350,Desserts,BTM Layout
Palace Corner House,No,Yes,2.6/5,6948,Koramangala  ,Quick Bites,"Italian, Pizza",450,Dine-out,Jayanagar
Starbucks,No,No,4.5/5,4476,Koramangala,Cafe,"Biryani, North Indian",300,Delivery,Banashankari
Pizza Hut,Yes,Yes,3.5/5,5094,RT Nagar  ,,,2500,Buffet,Indiranagar
Biryani Corner House,No,No,3.3/5,7512,Hebbal,Fine Dining,"Pizza, Fast Food",700,Drinks & nightlife,HSR Layout
Biryani Zone,Yes,No,4.8/5,2408,Marathahalli,Bakery,"Pizza, Fast Food",1000,Buffet,Koramangala
Kamat Upachar,No,No,2.5/5,2071,Rajajinagar,"Casual Dining, Cafe","Italian, Pizza",1200,Drinks & nightlife,Electronic City
The Burger Lab,Yes,No,4.5/5,3848,Richmond Town,Delivery,"Italian, Pizza",800,Cafes,Marathahalli
House Kamat Upachar,Yes,No,2.9/5,316,Church Street  ,Desserts,"South Indian, North Indian",150,Cafes,Marathahalli
Beijing Bites,Yes,Yes,4.5/5,3778,Majestic,Quick Bites,"Continental, North Indian",250,Drinks & nightlife,Jayanagar
New Taj Mahal Cafe,Yes,No,-,6704,Richmond Town,"Casual Dining, Cafe",South Indian,2500,Cafes,Marathahalli
Subway,No,No,4.0/5,2808,Yelahanka,Food Court,"Continental, North Indian",400,Dine-out,BTM Layout
Biryani MTR,Yes,Yes,4.8/5,3811,Hebbal,Casual Dining,Fast Food,2000,Drinks & nightlife,Whitefield
Beijing Bites,Yes,No,3.2/5,514,Jayanagar,Delivery,"Cafe, Beverages",350,Cafes,Whitefield
KFC,Yes,No,2.9/5,3052,Bellandur,Cafe,South Indian,300,Dine-out,Electronic City
Palace Beijing Bites,No,No,2.9/5,515,Church Street  ,Mess,"Italian, Pizza",150,Lunch,Banashankari
India Gate,No,No,3.0/5,7622,Yelahanka,Sweet Shop,"Desserts, Bakery","2,500",Cafes,Jayanagar
Kitchen Empire Restaurant,Yes,Yes,4.5/5,4795,Malleshwaram,,Street Food,700,Cafes,Marathahalli
Hotel Pai Vista,Yes,Yes,,2914,Bellandur,Quick Bites,"South Indian, Chinese",400,Dine-out,Indiranagar
India Gate,Yes,Yes,3.3/5,5315,HSR Layout,Bakery,"Desserts, Bakery",2000,Desserts,Marathahalli
Koshy's,Yes,No,3.9/5,444,Majestic,Quick Bites,"Desserts, Bakery",300,Delivery,Koramangala
Cafe Vidyarthi Bhavan,No,,4.8/5,4068,Sarjapur Road,Sweet Shop,"Pizza, Fast Food",2000,Cafes,JP Nagar
Punjab Grill,Yes,No,3.4/5,5806,MG Road,Casual Dining,Chinese,2000,Delivery,Electronic City
Punjabi Tadka,No,No,4.8/5,1098,Richmond Town,Bakery,"Italian, Pizza",350,Buffet,JP Nagar
Box8,No,No,NEW,5203,JP Nagar,Quick Bites,South Indian,2500,Desserts,BTM Layout
KFC,Yes,Yes,3.1/5,284,Yelahanka,Bakery,"Italian, Pizza",1500,Dine-out,Marathahalli
Spice Garden,No,,2.7/5,885,Yelahanka,Quick Bites,,450,Lunch,Marathahalli
Meghana Foods,Yes,Yes,3.2/5,1735,MG Road,Quick Bites,"Mughlai, North Indian",350,Dine-out,BTM Layout
Corner House,Yes,No,3.1/5,714,Indiranagar,Delivery,"South Indian, Chinese",2500,Cafes,Koramangala
Brahmin Coffee Bar,Yes,No,2.9/5,5561,Domlur,"Casual Dining, Cafe",,350,Desserts,Electronic City
Chai Point,No,No,4.7/5,5453,Basavanagudi,Fine Dining,Biryani,1500,Drinks & nightlife,Banashankari
Kitchen Toit Brewpub,No,Yes,3.2/5,148,Bellandur  ,Beverage Shop,"Seafood, Continental",600,Drinks & nightlife,Electronic City
Kitchen Punjab Grill,No,Yes,4.0/5,713,Richmond Town,Beverage Shop,"Mughlai, North Indian",600,Dine-out,Koramangala
Natural Ice Cream,Yes,No,2.6/5,2408,Richmond Town,Fine Dining,"South Indian, North Indian",350,Cafes,JP Nagar
Chai Point,Yes,Yes,2.6/5,3170,BTM Layout,Food Court,"South Indian, North Indian",400,Desserts,Koramangala
Kitchen Belgian Waffle,No,No,4.7/5,2719,JP Nagar,Fine Dining,"North Indian, Chinese",400,Lunch,BTM Layout
Hotel Pai Vista,No,No,4.6/5,1343,Frazer Town  ,Beverage Shop,Fast Food,1500,Drinks & nightlife,Marathahalli
Dhaba Truffles,Yes,Yes,2.8/5,2474,Whitefield,Casual Dining,"Cafe, Beverages",450,Desserts,Jayanagar
Empire Restaurant,No,Yes,4.7/5,2360,JP Nagar,Desserts,"Continental, North Indian",150,Delivery,JP Nagar
McDonald's,Yes,Yes,NEW,1682,Yelahanka,Casual Dining,"Desserts, Bakery",400,Lunch,Whitefield
KFC,No,,4.7/5,2401,Hebbal,,"Italian, Pizza","2,500",Buffet,Indiranagar
Udupi Palace,Yes,No,4.5/5,3804,Frazer Town,Desserts,"Sandwich, Fast Food",450,Lunch,Indiranagar
Subway,Yes,Yes,4.9/5,4005,Domlur,Bakery,"Ice Cream, Desserts",250,Cafes,Electronic City
Kitchen Amul,Yes,No,4.3/5,4986,Jayanagar,,"Cafe, Beverages",200,Dine-out,Marathahalli
Subway,Yes,No,3.5/5,6441,Bellandur,Cafe,"Desserts, Bakery",300,Buffet,JP Nagar
Biryani Pizza Hut,No,Yes,3.1/5,3725,Koramangala,"Casual Dining, Cafe",North Indian,300,Dine-out,BTM Layout
Eat Street,No,Yes,3.5/5,3976,Sarjapur Road,Bakery,"South Indian, Chinese",150,Lunch,Koramangala
Natural Ice Cream,Yes,Yes,3.1/5,5367,Frazer Town,Casual Dining,"Bakery, Cafe","1,500",Buffet,Marathahalli
Tasty Bites,No,No,3.7/5,2506,HSR Layout,Delivery,Chinese,800,Cafes,Electronic City
Hotel Corner House,Yes,No,2.8/5,1266,Majestic,Quick Bites,"Sandwich, Fast Food",500,Buffet,Banashankari
Corner House,Yes,No,4.4/5,4616,Basavanagudi,Fine Dining,"South Indian, Chinese",500,Lunch,Whitefield
Srinidhi,Yes,Yes,NEW,7157,Marathahalli,Bakery,"Sandwich, Fast Food",400,Drinks & nightlife,Marathahalli
Hotel Pai Vista,No,No,4.2/5,6353,Marathahalli,Fine Dining,Fast Food,1200,Delivery,Whitefield
Barbeque Nation,No,Yes,4.0/5,7548,Rajajinagar,Bar,"Continental, North Indian",,Buffet,Indiranagar
Kitchen Satkar,No,Yes,4.0/5,3899,Koramangala,Sweet Shop,"Ice Cream, Desserts",300,Desserts,Marathahalli
Vidyarthi Bhavan,No,Yes,4.1/5,762,Jayanagar,Cafe,"North Indian, Chinese",500,Desserts,Whitefield
KFC,No,No,4.5/5,129,Church Street,Food Court,"Biryani, North Indian",200,Dine-out,BTM Layout
Corner India Gate,Yes,Yes,3.3/5,5420,Hebbal  ,Quick Bites,North Indian,600,Drinks & nightlife,Electronic City
Kanti Sweets,Yes,No,4.8/5,4356,Whitefield,Cafe,"Mughlai, North Indian",800,Buffet,Indiranagar
Truffles,Yes,Yes,4.6/5,3041,Richmond Town,Quick Bites,Fast Food,350,Drinks & nightlife,Koramangala
Srinidhi,Yes,Yes,4.1/5,2064,Majestic,Fine Dining,Biryani,300,Buffet,JP Nagar
Satkar,No,No,2.7/5,7421,Domlur,Food Court,"Desserts, Bakery",500,Desserts,BTM Layout
Dominos,No,Yes,3.0/5,7334,Hebbal,Sweet Shop,Fast Food,700,Drinks & nightlife,Whitefield
Starbucks,No,,3.2/5,1596,Sarjapur Road,Food Court,Street Food,700,Lunch,Indiranagar
The Shivaji Military Hotel,No,No,3.3/5,1826,JP Nagar,Delivery,"South Indian, North Indian",150,Buffet,HSR Layout
Rolls Mania,Yes,Yes,3.8/5,3046,Malleshwaram,Desserts,"Desserts, Bakery",1200,Lunch,Indiranagar
Natural Ice Cream,Yes,Yes,3.8/5,7729,Malleshwaram,"Pub, Bar","Italian, Pizza",250,Delivery,Electronic City
Haveli,No,Yes,NEW,2356,Whitefield,Cafe,"Biryani, North Indian",800,Cafes,JP Nagar
Box8,No,Yes,2.7/5,7519,HSR Layout,Delivery,"Seafood, Continental",400,Lunch,Banashankari
House Shivaji Military Hotel,Yes,Yes,3.8/5,1711,Koramangala,,"South Indian, Chinese",200,Drinks & nightlife,Electronic City
Punjabi Tadka,No,Yes,4.7/5,1713,Majestic,Quick Bites,North Indian,,Drinks & nightlife,Jayanagar
Hotel Pai Vista,No,No,3.7/5,2203,Koramangala  ,Casual Dining,"Desserts, Bakery",,Buffet,Electronic City
Box8,Yes,,3.8/5,2564,Basavanagudi,Bakery,,1000,Desserts,Electronic City
Natural Ice Cream,No,No,NEW,7385,Church Street,Fine Dining,"Cafe, Beverages",1500,Lunch,Marathahalli
The Burger Lab,No,,3.4/5,4770,Marathahalli,Bakery,,500,Cafes,Jayanagar
Shivaji Military Hotel,No,Yes,,4116,Hebbal  ,"Pub, Bar","Mughlai, North Indian",1200,Buffet,Indiranagar
Dominos,Yes,,3.7/5,4321,Vijayanagar  ,Bar,South Indian,300,Buffet,Koramangala
Cafe Corner House,Yes,Yes,3.1/5,3329,RT Nagar,Sweet Shop,"Seafood, Continental",400,Drinks & nightlife,BTM Layout
Kanti Sweets,Yes,Yes,2.6/5,4008,Richmond Town,Cafe,North Indian,1000,Delivery,JP Nagar
The Burger Lab,Yes,No,2.8/5,5295,Vijayanagar,Cafe,"South Indian, Chinese",,Dine-out,HSR Layout
Eat Street,Yes,Yes,3.1/5,5352,RT Nagar,Sweet Shop,"Bakery, Cafe",1200,Delivery,HSR Layout
Truffles,No,No,4.3/5,661,Richmond Town,Bar,Biryani,200,Desserts,Marathahalli
Subway,Yes,No,3.3/5,1390,JP Nagar  ,Food Court,Fast Food,900,Drinks & nightlife,BTM Layout
Corner House,Yes,Yes,3.1/5,440,Majestic,Beverage Shop,South Indian,,Delivery,Electronic City
MTR,No,Yes,3.7/5,5640,HSR Layout,Bar,"Biryani, North Indian",350,Desserts,Electronic City
Eat Street,No,Yes,NEW,2033,Indiranagar,Bakery,"Biryani, North Indian","1,500",Buffet,Indiranagar
Freshmenu,Yes,Yes,2.7/5,6154,Rajajinagar  ,Cafe,"Desserts, Bakery",1500,Cafes,Marathahalli
Subway,No,,4.0/5,2740,JP Nagar,Quick Bites,"Biryani, North Indian",1500,Buffet,Indiranagar
Hotel Pai Vista,No,No,4.2/5,5718,Yelahanka,Casual Dining,"Sandwich, Fast Food",200,Lunch,Electronic City
The Chai Point,Yes,No,2.9/5,7981,Richmond Town,Beverage Shop,"Pizza, Fast Food",350,Dine-out,Indiranagar
Cafe Coffee Day,No,Yes,3.6/5,894,Bellandur  ,"Casual Dining, Cafe","Sandwich, Fast Food",500,Desserts,HSR Layout
Dhaba Haveli,No,Yes,4.2/5,560,JP Nagar,Sweet Shop,Chinese,"1,000",Buffet,Whitefield
Natural Ice Cream,Yes,No,3.2/5,1796,Domlur,Mess,"Ice Cream, Desserts",1200,Delivery,Whitefield
MTR,No,Yes,3.4/5,3144,Whitefield,Fine Dining,South Indian,350,Lunch,HSR Layout
Pizza Hut,Yes,Yes,3.5/5,661,Jayanagar,,"Italian, Pizza",,Lunch,Indiranagar
Kitchen Dragon Palace,No,Yes,3.3/5,2349,Vijayanagar,Sweet Shop,"South Indian, Chinese",450,Cafes,Indiranagar
